city,state,price,year,make,model,condition,cylinders,fuel,odometer,title,transmission,drive,size,type,color,lat,long
siskiyou county,CA,8990,2015,mazda,mazda6 i touring 4dr seda,like new,6 cylinders,gas,150000,clean,automatic,fwd,full-size,sedan,blue,38.606405,-121.44766100000001
syracuse,NY,11500,2014,chevrolet,impala,good,6 cylinders,gas,82000,clean,automatic,fwd,full-size,coupe,white,43.4394,-76.4613
ocala,FL,1,2015,chevrolet,silverado 1500,excellent,8 cylinders,gas,96659,clean,automatic,rwd,full-size,truck,black,28.466088,-81.396429
central NJ,NJ,5990,2010,honda,pilot touring awd,fair,6 cylinders,gas,141000,clean,automatic,4wd,full-size,SUV,white,40.328103000000006,-74.286976
augusta,GA,0,2019,chevrolet,camaro,excellent,6 cylinders,gas,18929,clean,automatic,rwd,compact,coupe,black,33.08194,-82.01068000000001
santa fe ,NM,0,2018,ford,fusion,excellent,4 cylinders,gas,3398,clean,automatic,fwd,mid-size,sedan,grey,35.6423,-106.01251
winchester,VA,6500,2003,ford,ranger edge,good,6 cylinders,gas,112706,clean,manual,rwd,mid-size,truck,blue,39.1164,-77.7802
space coast,FL,7900,2004,ford,super duty f-350 drw,excellent,8 cylinders,gas,84112,clean,automatic,rwd,full-size,pickup,white,28.079232,-80.674959
fayetteville,NC,0,2015,ford,transit,good,6 cylinders,gas,0,clean,automatic,fwd,mid-size,van,white,33.711509,-78.909582
sarasota,FL,5975,2002,ford,ranger xlt,excellent,4 cylinders,gas,132000,clean,manual,rwd,compact,truck,brown,27.2866,-82.477
kansas city,MO,5950,2002,chevrolet,camaro,good,6 cylinders,gas,119453,clean,automatic,rwd,mid-size,coupe,blue,38.8865,-94.8204
new haven,CT,6995,2006,buick,lucerne cxl v6,like new,6 cylinders,gas,94300,clean,automatic,4wd,mid-size,sedan,blue,41.3427,-73.0742
syracuse,NY,7495,2012,jeep,liberty,excellent,6 cylinders,gas,108230,clean,automatic,4wd,full-size,SUV,black,43.125344,-76.098688
manhattan,KS,11995,2011,ram,2500,excellent,8 cylinders,gas,144000,clean,automatic,fwd,full-size,truck,silver,39.035726000000004,-96.829436
nashville,TN,2200,2004,ford,escape,good,6 cylinders,gas,177000,clean,automatic,4wd,mid-size,SUV,red,36.2195,-86.774
ann arbor,MI,15500,2014,mazda,6,excellent,4 cylinders,gas,51000,clean,automatic,fwd,mid-size,sedan,white,42.3042,-83.7068
houston,TX,1000,2005,nissan,armada,excellent,8 cylinders,gas,175574,clean,automatic,rwd,full-size,pickup,white,29.7971,-95.4958
ocala,FL,1,2016,ram,1500,excellent,8 cylinders,gas,34863,clean,automatic,4wd,full-size,truck,white,28.466088,-81.396429
columbia,SC,28995,2015,ram,3500,good,6 cylinders,diesel,173058,clean,automatic,4wd,full-size,truck,red,36.0844,-83.7411
jacksonville,FL,1,2015,mitsubishi,lancer,excellent,10 cylinders,gas,67110,clean,other,4wd,compact,sedan,black,28.466088,-81.396429
winston-salem,NC,12995,2007,chevrolet,tahoe ltz 4x4,like new,8 cylinders,gas,147821,clean,automatic,4wd,full-size,SUV,white,36.502054,-80.601948
boise,ID,3500,2007,dodge,grand caravan,good,6 cylinders,gas,168000,clean,automatic,fwd,mid-size,van,blue,45.926415999999996,-116.122825
kennewick,WA,5950,2013,ford,fiesta,excellent,4 cylinders,gas,98110,clean,automatic,fwd,compact,sedan,green,46.216956,-119.128822
new york city,NY,26999,2006,ford,f-350 sd xl 4wd,excellent,8 cylinders,diesel,57000,clean,automatic,4wd,full-size,truck,white,37.6455,-77.6266
las vegas,NV,7795,2012,honda,civic cpe,excellent,4 cylinders,gas,98000,clean,automatic,fwd,sub-compact,coupe,silver,36.092119,-115.20721100000002
sacramento,CA,1500,2012,honda,accord coupe,like new,4 cylinders,gas,128000,clean,automatic,fwd,compact,coupe,silver,38.610997999999995,-121.40318799999999
central NJ,NJ,10999,2001,ford,mustang svt cobra,excellent,8 cylinders,gas,75000,clean,manual,rwd,full-size,coupe,grey,40.6952,-74.2677
inland empire,CA,6900,2011,nissan,juke,good,4 cylinders,gas,0,clean,automatic,fwd,full-size,SUV,black,33.8797,-117.5354
medford,OR,26998,2014,toyota,tacoma,good,6 cylinders,gas,74076,clean,automatic,4wd,full-size,truck,black,42.3899,-122.9222
charlottesville,VA,9200,2011,subaru,forester,excellent,4 cylinders,gas,80,clean,automatic,4wd,full-size,SUV,green,38.006828000000006,-78.599994
st cloud,MN,15900,2014,gmc,acadia slt-1 awd,excellent,6 cylinders,gas,99480,clean,automatic,4wd,mid-size,SUV,white,45.541000000000004,-94.1819
mendocino county,CA,0,2019,chevrolet,express 2500,excellent,6 cylinders,gas,11164,clean,automatic,rwd,full-size,van,white,39.032920000000004,-122.92535
las vegas,NV,1000,2012,dodge,charger,good,other,gas,104000,clean,automatic,rwd,full-size,sedan,black,36.1433,-115.2004
anchorage ,AK,29995,2012,gmc,sierra 2500hd,like new,8 cylinders,gas,47207,clean,automatic,4wd,full-size,truck,blue,61.166252,-149.857916
atlanta,GA,0,2014,chrysler,300 s 4dr sedan,good,6 cylinders,gas,68795,clean,automatic,rwd,full-size,sedan,grey,33.6954,-84.2489
boise,ID,16995,2006,ford,3/4 t crew cab 4x4,good,8 cylinders,diesel,154995,clean,automatic,4wd,full-size,pickup,brown,44.06497,-116.93036599999999
ft myers ,FL,3450,2005,chevrolet,trailblazer,good,6 cylinders,gas,103000,clean,automatic,rwd,full-size,SUV,red,26.2416,-81.8071
tri-cities,TN,17900,2011,ford,f-150 lariat 4x4,excellent,8 cylinders,gas,147023,clean,automatic,4wd,full-size,truck,white,36.1342,-82.4163
charlotte,NC,24500,2017,toyota,highlander,like new,6 cylinders,gas,56450,clean,automatic,4wd,mid-size,SUV,grey,35.129924,-80.97951
mcallen ,TX,3200,2008,dodge,nitro sxt,good,6 cylinders,gas,94839,clean,automatic,fwd,mid-size,SUV,grey,26.23315,-98.177488
williamsport,PA,19495,2010,toyota,tundra,good,8 cylinders,gas,91725,clean,automatic,4wd,full-size,truck,black,40.846711,-76.587963
merced,CA,16499,2014,ram,1500,excellent,8 cylinders,gas,171174,clean,automatic,4wd,full-size,pickup,white,37.609783,-120.995406
orlando,FL,1,2019,nissan,maxima,excellent,6 cylinders,gas,9877,clean,automatic,4wd,compact,sedan,silver,28.466088,-81.396429
southwest michigan,IN,10000,2010,dodge,challenger se,excellent,6 cylinders,gas,47576,clean,automatic,rwd,mid-size,coupe,black,42.582388,-83.856111
tucson,AZ,11500,2012,nissan,xterra,excellent,6 cylinders,gas,102000,clean,automatic,4wd,mid-size,SUV,grey,32.1696,-110.8751
lakeland,FL,9999,2015,ford,fusion,excellent,4 cylinders,hybrid,86430,clean,automatic,fwd,mid-size,sedan,silver,28.017552000000002,-82.12361800000001
